index,name,url,higher_level,desc,range,components,ritual,duration,concentration,casting_time,level,classes,subclasses,school.index,school.name,school.url,material,dc.dc_type.index,dc.dc_type.name,dc.dc_type.url,dc.dc_success,damage.damage_type.index,damage.damage_type.name,damage.damage_type.url,damage.damage_at_character_level.1,damage.damage_at_character_level.5,damage.damage_at_character_level.11,damage.damage_at_character_level.17,area_of_effect.type,area_of_effect.size,heal_at_slot_level.1,heal_at_slot_level.2,heal_at_slot_level.3,heal_at_slot_level.4,heal_at_slot_level.5,heal_at_slot_level.6,heal_at_slot_level.7,heal_at_slot_level.8,heal_at_slot_level.9,attack_type,damage.damage_at_slot_level.1,damage.damage_at_slot_level.2,damage.damage_at_slot_level.3,damage.damage_at_slot_level.4,damage.damage_at_slot_level.5,damage.damage_at_slot_level.6,damage.damage_at_slot_level.7,damage.damage_at_slot_level.8,damage.damage_at_slot_level.9,dc.desc,AtSlot1,AtSlot2,AtSlot3,AtSlot4,AtSlot5,AtSlot6,AtSlot7,AtSlot8,AtSlot9
find-traps,Find Traps,/api/spells/find-traps,[],"['You sense the presence of any trap within range that is within line of sight. A trap, for the purpose of this spell, includes anything that would inflict a sudden or unexpected effect you consider harmful or undesirable, which was specifically intended as such by its creator. Thus, the spell would sense an area affected by the alarm spell, a glyph of warding, or a mechanical pit trap, but it would not reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.', ""This spell merely reveals that a trap is present. You don't learn the location of each trap, but you do learn the general nature of the danger posed by a trap you sense.""]",120 feet,"['V', 'S']",False,Instantaneous,False,1 action,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",divination,Divination,/api/magic-schools/divination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gentle-repose,Gentle Repose,/api/spells/gentle-repose,[],"[""You touch a corpse or other remains. For the duration, the target is protected from decay and can't become undead."", ""The spell also effectively extends the time limit on raising the target from the dead, since days spent under the influence of this spell don't count against the time limit of spells such as raise dead.""]",Touch,"['V', 'S', 'M']",True,10 days,False,1 action,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",necromancy,Necromancy,/api/magic-schools/necromancy,"A pinch of salt and one copper piece placed on each of the corpse's eyes, which must remain there for the duration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hold-person,Hold Person,/api/spells/hold-person,"['When you cast this spell using a spell slot of 3rd level or higher, you can target one additional humanoid for each slot level above 2nd. The humanoids must be within 30 feet of each other when you target them.']","['Choose a humanoid that you can see within range. The target must succeed on a wisdom saving throw or be paralyzed for the duration. At the end of each of its turns, the target can make another wisdom saving throw. On a success, the spell ends on the target.']",60 feet,"['V', 'S', 'M']",False,Up to 1 minute,True,1 action,2,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",enchantment,Enchantment,/api/magic-schools/enchantment,"A small, straight piece of iron.",wis,WIS,/api/ability-scores/wis,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lesser-restoration,Lesser Restoration,/api/spells/lesser-restoration,[],"['You touch a creature and can end either one disease or one condition afflicting it. The condition can be blinded, deafened, paralyzed, or poisoned.']",Touch,"['V', 'S']",False,Instantaneous,False,1 action,2,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'life', 'name': 'Life', 'url': '/api/subclasses/life'}, {'index': 'devotion', 'name': 'Devotion', 'url': '/api/subclasses/devotion'}]",abjuration,Abjuration,/api/magic-schools/abjuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locate-object,Locate Object,/api/spells/locate-object,[],"[""Describe or name an object that is familiar to you. You sense the direction to the object's location, as long as that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement."", 'The spell can locate a specific object known to you, as long as you have seen it up close--within 30 feet--at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.', ""This spell can't locate an object if any thickness of lead, even a thin sheet, blocks a direct path between you and the object.""]",Self,"['V', 'S', 'M']",False,Up to 10 minutes,True,1 action,2,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",divination,Divination,/api/magic-schools/divination,A forked twig.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prayer-of-healing,Prayer of Healing,/api/spells/prayer-of-healing,"['When you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d8 for each slot level above 2nd.']",['Up to six creatures of your choice that you can see within range each regain hit points equal to 2d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.'],30 feet,['V'],False,Instantaneous,False,10 minutes,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,,,,,,,,2d8 + MOD,3d8 + MOD,4d8 + MOD,5d8 + MOD,6d8 + MOD,7d8 + MOD,8d8 + MOD,9d8 + MOD,,,,,,,,,,,,,2d8 + MOD,3d8 + MOD,4d8 + MOD,5d8 + MOD,6d8 + MOD,7d8 + MOD,8d8 + MOD,9d8 + MOD
protection-from-poison,Protection from Poison,/api/spells/protection-from-poison,[],"['You touch a creature. If it is poisoned, you neutralize the poison. If more than one poison afflicts the target, you neutralize one poison that you know is present, or you neutralize one at random.', 'For the duration, the target has advantage on saving throws against being poisoned, and it has resistance to poison damage.']",Touch,"['V', 'S']",False,1 hour,False,1 action,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",abjuration,Abjuration,/api/magic-schools/abjuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silence,Silence,/api/spells/silence,[],"['For the duration, no sound can be created within or pass through a 20-foot-radius sphere centered on a point you choose within range. Any creature or object entirely inside the sphere is immune to thunder damage, and creatures are deafened while entirely inside it.', 'Casting a spell that includes a verbal component is impossible there.']",120 feet,"['V', 'S']",True,Up to 10 minutes,True,1 action,2,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",illusion,Illusion,/api/magic-schools/illusion,,,,,,,,,,,,,sphere,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiritual-weapon,Spiritual Weapon,/api/spells/spiritual-weapon,"['When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for every two slot levels above the 2nd.']","['You create a floating, spectral weapon within range that lasts for the duration or until you cast this spell again. When you cast the spell, you can make a melee spell attack against a creature within 5 feet of the weapon. On a hit, the target takes force damage equal to 1d8 + your spellcasting ability modifier.', 'As a bonus action on your turn, you can move the weapon up to 20 feet and repeat the attack against a creature within 5 feet of it.', ""The weapon can take whatever form you choose. Clerics of deities who are associated with a particular weapon (as St. Cuthbert is known for his mace and Thor for his hammer) make this spell's effect resemble that weapon.""]",60 feet,"['V', 'S']",False,1 minute,False,1 bonus action,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'life', 'name': 'Life', 'url': '/api/subclasses/life'}]",evocation,Evocation,/api/magic-schools/evocation,,,,,,force,Force,/api/damage-types/force,,,,,,,,,,,,,,,,melee,,1d8 + MOD,1d8 + MOD,2d8 + MOD,2d8 + MOD,3d8 + MOD,3d8 + MOD,4d8 + MOD,4d8 + MOD,,,1d8 + MOD,1d8 + MOD,2d8 + MOD,2d8 + MOD,3d8 + MOD,3d8 + MOD,4d8 + MOD,4d8 + MOD
warding-bond,Warding Bond,/api/spells/warding-bond,[],"['This spell wards a willing creature you touch and creates a mystic connection between you and the target until the spell ends. While the target is within 60 feet of you, it gains a +1 bonus to AC and saving throws, and it has resistance to all damage. Also, each time it takes damage, you take the same amount of damage.', 'The spell ends if you drop to 0 hit points or if you and the target become separated by more than 60 feet.', 'It also ends if the spell is cast again on either of the connected creatures. You can also dismiss the spell as an action.']",Touch,"['V', 'S', 'M']",False,1 hour,False,1 action,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",abjuration,Abjuration,/api/magic-schools/abjuration,"A pair of platinum rings worth at least 50gp each, which you and the target must wear for the duration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone-of-truth,Zone of Truth,/api/spells/zone-of-truth,[],"[""You create a magical zone that guards against deception in a 15-foot-radius sphere centered on a point of your choice within range. Until the spell ends, a creature that enters the spell's area for the first time on a turn or starts its turn there must make a Charisma saving throw. On a failed save, a creature can't speak a deliberate lie while in the radius. You know whether each creature succeeds or fails on its saving throw."", 'An affected creature is aware of the spell and can thus avoid answering questions to which it would normally respond with a lie. Such a creature can remain evasive in its answers as long as it remains within the boundaries of the truth.']",60 feet,"['V', 'S']",False,10 minutes,False,1 action,2,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'devotion', 'name': 'Devotion', 'url': '/api/subclasses/devotion'}]",enchantment,Enchantment,/api/magic-schools/enchantment,,,,,,,,,,,,,sphere,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
animate-dead,Animate Dead,/api/spells/animate-dead,"['When you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd. Each of the creatures must come from a different corpse or pile of bones.']","[""This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of life, raising it as an undead creature. The target becomes a skeleton if you chose bones or a zombie if you chose a corpse (the GM has the creature's game statistics)."", 'On each of your turns, you can use a bonus action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.', ""The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell, rather than animating a new one.""]",10 feet,"['V', 'S', 'M']",False,Instantaneous,False,1 minute,3,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",necromancy,Necromancy,/api/magic-schools/necromancy,"A drop of blood, a piece of flesh, and a pinch of bone dust.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beacon-of-hope,Beacon of Hope,/api/spells/beacon-of-hope,[],"['This spell bestows hope and vitality. Choose any number of creatures within range. For the duration, each target has advantage on wisdom saving throws and death saving throws, and regains the maximum number of hit points possible from any healing.']",30 feet,"['V', 'S']",False,Up to 1 minute,True,1 action,3,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'life', 'name': 'Life', 'url': '/api/subclasses/life'}, {'index': 'devotion', 'name': 'Devotion', 'url': '/api/subclasses/devotion'}]",abjuration,Abjuration,/api/magic-schools/abjuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestow-curse,Bestow Curse,/api/spells/bestow-curse,"[""If you cast this spell using a spell slot of 4th level or higher, the duration is concentration, up to 10 minutes. If you use a spell slot of 5th level or higher, the duration is 8 hours. If you use a spell slot of 7th level or higher, the duration is 24 hours. If you use a 9th level spell slot, the spell lasts until it is dispelled. Using a spell slot of 5th level or higher grants a duration that doesn't require concentration.""]","['You touch a creature, and that creature must succeed on a wisdom saving throw or become cursed for the duration of the spell. When you cast this spell, choose the nature of the curse from the following options:', '- Choose one ability score. While cursed, the target has disadvantage on ability checks and saving throws made with that ability score.', '- While cursed, the target has disadvantage on attack rolls against you.', '- While cursed, the target must make a wisdom saving throw at the start of each of its turns. If it fails, it wastes its action that turn doing nothing.', '- While the target is cursed, your attacks and spells deal an extra 1d8 necrotic damage to the target.', ""A remove curse spell ends this effect. At the GM's option, you may choose an alternative curse effect, but it should be no more powerful than those described above. The GM has final say on such a curse's effect.""]",Touch,"['V', 'S']",False,Up to 1 minute,True,1 action,3,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",necromancy,Necromancy,/api/magic-schools/necromancy,,wis,WIS,/api/ability-scores/wis,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On fail, become cursed for the duration of the spell.",,,,,,,,,
clairvoyance,Clairvoyance,/api/spells/clairvoyance,[],"[""You create an invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door, around a corner, or in a grove of trees). The sensor remains in place for the duration, and it can't be attacked or otherwise interacted with."", 'When you cast the spell, you choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As your action, you can switch between seeing and hearing.', 'A creature that can see the sensor (such as a creature benefiting from see invisibility or truesight) sees a luminous, intangible orb about the size of your fist.']",1 mile,"['V', 'S', 'M']",False,Up to 10 minutes,True,10 minutes,3,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",divination,Divination,/api/magic-schools/divination,"A focus worth at least 100gp, either a jeweled horn for hearing or a glass eye for seeing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create-food-and-water,Create Food and Water,/api/spells/create-food-and-water,[],"[""You create 45 pounds of food and 30 gallons of water on the ground or in containers within range, enough to sustain up to fifteen humanoids or five steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesn't go bad.""]",30 feet,"['V', 'S']",False,Instantaneous,False,1 action,3,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",conjuration,Conjuration,/api/magic-schools/conjuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daylight,Daylight,/api/spells/daylight,[],"['A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet.', ""If you chose a point on an object you are holding or one that isn't being worn or carried, the light shines from the object and moves with it. Completely covering the affected object with an opaque object, such as a bowl or a helm, blocks the light."", ""If any of this spell's area overlaps with an area of darkness created by a spell of 3rd level or lower, the spell that created the darkness is dispelled.""]",60 feet,"['V', 'S']",False,1 hour,False,1 action,3,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,,,,,sphere,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dispel-magic,Dispel Magic,/api/spells/dispel-magic,"[""When you cast this spell using a spell slot of 4th level or higher, you automatically end the effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used.""]","[""Choose one creature, object, or magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the target, make an ability check using your spellcasting ability. The DC equals 10 + the spell's level. On a successful check, the spell ends.""]",120 feet,"['V', 'S']",False,Instantaneous,False,1 action,3,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'devotion', 'name': 'Devotion', 'url': '/api/subclasses/devotion'}]",abjuration,Abjuration,/api/magic-schools/abjuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glyph-of-warding,Glyph of Warding,/api/spells/glyph-of-warding,"['When you cast this spell using a spell slot of 4th level or higher, the damage of an explosive runes glyph increases by 1d8 for each slot level above 3rd. If you create a spell glyph, you can store any spell of up to the same level as the slot you use for the glyph of warding.']","['When you cast this spell, you inscribe a glyph that harms other creatures, either upon a surface (such as a table or a section of floor or wall) or within an object that can be closed (such as a book, a scroll, or a treasure chest) to conceal the glyph. If you choose a surface, the glyph can cover an area of the surface no larger than 10 feet in diameter. If you choose an object, that object must remain in its place; if the object is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.', 'The glyph is nearly invisible and requires a successful Intelligence (Investigation) check against your spell save DC to be found.', 'You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, the most typical triggers include touching or standing on the glyph, removing another object covering the glyph, approaching within a certain distance of the glyph, or manipulating the object on which the glyph is inscribed. For glyphs inscribed within an object, the most common triggers include opening that object, approaching within a certain distance of the object, or seeing or reading the glyph. Once a glyph is triggered, this spell ends.', ""You can further refine the trigger so the spell activates only under certain circumstances or according to physical characteristics (such as height or weight), creature kind (for example, the ward could be set to affect aberrations or drow), or alignment. You can also set conditions for creatures that don't trigger the glyph, such as those who say a certain password."", 'When you inscribe the glyph, choose *explosive runes* or a *spell glyph*.', '***Explosive Runes.*** When triggered, the glyph erupts with magical energy in a 20-foot-radius sphere centered on the glyph. The sphere spreads around corners. Each creature in the area must make a Dexterity saving throw. A creature takes 5d8 acid, cold, fire, lightning, or thunder damage on a failed saving throw (your choice when you create the glyph), or half as much damage on a successful one.', '***Spell Glyph.*** You can store a prepared spell of 3rd level or lower in the glyph by casting it as part of creating the glyph. The spell must target a single creature or an area. The spell being stored has no immediate effect when cast in this way. When the glyph is triggered, the stored spell is cast. If the spell has a target, it targets the creature that triggered the glyph. If the spell affects an area, the area is centered on that creature. If the spell summons hostile creatures or creates harmful objects or traps, they appear as close as possible to the intruder and attack it. If the spell requires concentration, it lasts until the end of its full duration.']",Touch,"['V', 'S', 'M']",False,Until dispelled,False,1 hour,3,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",abjuration,Abjuration,/api/magic-schools/abjuration,"Incense and powdered diamond worth at least 200 gp, which the spell consumes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magic-circle,Magic Circle,/api/spells/magic-circle,"['When you cast this spell using a spell slot of 4th level or higher, the duration increases by 1 hour for each slot level above 3rd.']","['You create a 10-foot radius, 20-foot-tall cylinder of magical energy centered on a point on the ground that you can see within range. Glowing runes appear whenever the cylinder intersects with the floor or other surface.', 'Choose one or more of the following types of creatures: celestials, elementals, fey, fiends, or undead. The circle affects a creature of the chosen type in the following ways:', ""- The creature can't willingly enter the cylinder by nonmagical means. If the creature tries to use teleportation or interplanar travel to do so, it must first succeed on a charisma saving throw."", '- The creature has disadvantage on attack rolls against targets within the cylinder.', ""- Targets within the cylinder can't be charmed, frightened, or possessed by the creature."", 'When you cast this spell, you can elect to cause its magic to operate in the reverse direction, preventing a creature of the specified type from leaving the cylinder and protecting targets outside it.']",10 feet,"['V', 'S', 'M']",False,1 hour,False,1 minute,3,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",abjuration,Abjuration,/api/magic-schools/abjuration,"Holy water or powdered silver and iron worth at least 100 gp, which the spell consumes.",cha,CHA,/api/ability-scores/cha,other,,,,,,,,cylinder,10.0,,,,,,,,,,,,,,,,,,,,"If the creature tries to use teleportation or interplanar travel to do so, it must first succeed on a Charisma saving throw.",,,,,,,,,
mass-healing-word,Mass Healing Word,/api/spells/mass-healing-word,"['When you cast this spell using a spell slot of 4th level or higher, the healing increases by 1d4 for each slot level above 3rd.']","['As you call out words of restoration, up to six creatures of your choice that you can see within range regain hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.']",60 feet,['V'],False,Instantaneous,False,1 bonus action,3,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,,,,,,,,,1d4 + MOD,2d4 + MOD,3d4 + MOD,4d4 + MOD,5d4 + MOD,6d4 + MOD,7d4 + MOD,,,,,,,,,,,,,,1d4 + MOD,2d4 + MOD,3d4 + MOD,4d4 + MOD,5d4 + MOD,6d4 + MOD,7d4 + MOD
meld-into-stone,Meld Into Stone,/api/spells/meld-into-stone,[],"['You step into a stone object or surface large enough to fully contain your body, melding yourself and all the equipment you carry with the stone for the duration. Using your movement, you step into the stone at a point you can touch. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.', ""While merged with the stone, you can't see what occurs outside it, and any Wisdom (Perception) checks you make to hear sounds outside it are made with disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use your movement to leave the stone where you entered it, which ends the spell. You otherwise can't move."", ""Minor physical damage to the stone doesn't harm you, but its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 bludgeoning damage to you. The stone's complete destruction (or transmutation into a different substance) expels you and deals 50 bludgeoning damage to you. If expelled, you fall prone in an unoccupied space closest to where you first entered.""]",Touch,"['V', 'S']",True,8 hours,False,1 action,3,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",transmutation,Transmutation,/api/magic-schools/transmutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protection-from-energy,Protection From Energy,/api/spells/protection-from-energy,[],"['For the duration, the willing creature you touch has resistance to one damage type of your choice: acid, cold, fire, lightning, or thunder.']",Touch,"['V', 'S']",False,Up to 1 hour,True,1 action,3,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'land', 'name': 'Land', 'url': '/api/subclasses/land'}]",abjuration,Abjuration,/api/magic-schools/abjuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
